año;Ámbito;Área de Cultivos;Área de Pastoreo;Área de Bosques; Zonas de Pesca  ;Huella de Carbono;Áreas Urbanas;Huella Regional Per Capita
2009;AMAZONAS;0.320;0.314;0.115;0.198;0.249;0.044;1.240
2009;ÁNCASH;0.345;0.322;0.131;0.289;0.383;0.053;1.522
2009;APURÍMAC;0.239;0.334;0.053;0.168;0.172;0.027;0.992
2009;AREQUIPA;0.421;0.766;0.166;0.250;0.556;0.070;2.229
2009;AYACUCHO;0.272;0.383;0.074;0.229;0.220;0.034;1.212
2009;CAJAMARCA;0.260;0.257;0.081;0.214;0.222;0.033;1.066
2009;CUSCO;0.333;0.532;0.137;0.212;0.343;0.048;1.605
2009;HUANCAVELICA;0.183;0.262;0.047;0.128;0.152;0.027;0.800
2009;HUÁNUCO;0.233;0.213;0.085;0.148;0.229;0.033;0.941
2009;ICA;0.448;0.460;0.184;0.350;0.492;0.062;1.997
2009;JUNÍN;0.383;0.419;0.132;0.279;0.354;0.044;1.612
2009;LA LIBERTAD;0.418;0.468;0.158;0.343;0.497;0.055;1.939
2009;LAMBAYEQUE;0.405;0.443;0.150;0.355;0.410;0.050;1.813
2009;LIMA;0.599;0.721;0.270;0.507;0.919;0.100;3.117
2009;LORETO;0.395;0.413;0.136;0.522;0.342;0.045;1.854
2009;MADRE DE DIOS;0.536;0.695;0.259;0.377;0.585;0.114;2.567
2009;MOQUEGUA;0.382;0.667;0.188;0.223;0.552;0.083;2.096
2009;PASCO;0.282;0.324;0.090;0.215;0.283;0.048;1.243
2009;PIURA;0.393;0.469;0.130;0.519;0.361;0.045;1.917
2009;PUNO;0.210;0.380;0.084;0.117;0.211;0.033;1.035
2009;SAN MARTÍN;0.331;0.320;0.122;0.364;0.311;0.048;1.496
2009;TACNA;0.440;0.736;0.192;0.295;0.645;0.082;2.390
2009;TUMBES;0.474;0.606;0.193;0.608;0.455;0.069;2.405
2009;UCAYALI;0.398;0.378;0.147;0.589;0.406;0.057;1.975
2010;AMAZONAS;0.265;0.268;0.102;0.138;0.300;0.047;1.120
2010;ÁNCASH;0.379;0.365;0.173;0.233;0.499;0.059;1.708
2010;APURÍMAC;0.247;0.302;0.081;0.142;0.235;0.035;1.041
2010;AREQUIPA;0.448;0.701;0.186;0.179;0.699;0.074;2.287
2010;AYACUCHO;0.299;0.396;0.091;0.165;0.297;0.038;1.287
2010;CAJAMARCA;0.301;0.321;0.072;0.187;0.296;0.037;1.215
2010;CUSCO;0.353;0.532;0.121;0.166;0.425;0.058;1.655
2010;HUANCAVELICA;0.218;0.269;0.058;0.113;0.212;0.032;0.901
2010;HUÁNUCO;0.256;0.223;0.093;0.117;0.305;0.039;1.033
2010;ICA;0.478;0.453;0.190;0.271;0.615;0.067;2.074
2010;JUNÍN;0.392;0.416;0.124;0.214;0.444;0.049;1.638
2010;LA LIBERTAD;0.418;0.418;0.168;0.244;0.594;0.054;1.894
2010;LAMBAYEQUE;0.470;0.467;0.165;0.307;0.544;0.060;2.012
2010;LIMA;0.628;0.695;0.273;0.366;1.113;0.099;3.175
2010;LORETO;0.424;0.375;0.136;0.343;0.456;0.050;1.785
2010;MADRE DE DIOS;0.565;0.640;0.251;0.293;0.686;0.099;2.533
2010;MOQUEGUA;0.435;0.683;0.181;0.207;0.710;0.093;2.309
2010;PASCO;0.320;0.371;0.100;0.159;0.372;0.052;1.373
